DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
16.7,2018,3,5,23,0,Millbrook School,35.856111,-78.574167,3/5/2018
16.8,2018,3,6,19,0,Millbrook School,35.856111,-78.574167,3/6/2018
4.8,2018,3,7,23,0,Millbrook School,35.856111,-78.574167,3/7/2018
19.3,2018,3,8,23,0,Millbrook School,35.856111,-78.574167,3/8/2018
34,2018,3,9,23,0,Millbrook School,35.856111,-78.574167,3/9/2018
21.6,2018,3,10,23,0,Millbrook School,35.856111,-78.574167,3/10/2018
3.9,2018,3,11,23,0,Millbrook School,35.856111,-78.574167,3/11/2018
31.3,2018,3,15,23,0,Millbrook School,35.856111,-78.574167,3/15/2018
31.4,2018,3,16,23,0,Millbrook School,35.856111,-78.574167,3/16/2018
20.4,2018,3,17,23,0,Millbrook School,35.856111,-78.574167,3/17/2018
18.9,2018,3,18,23,0,Millbrook School,35.856111,-78.574167,3/18/2018
15.6,2018,3,19,23,0,Millbrook School,35.856111,-78.574167,3/19/2018
4.8,2018,3,20,19,0,Millbrook School,35.856111,-78.574167,3/20/2018
6.8,2018,3,21,23,0,Millbrook School,35.856111,-78.574167,3/21/2018
11.3,2018,3,22,23,0,Millbrook School,35.856111,-78.574167,3/22/2018
15,2018,3,23,23,0,Millbrook School,35.856111,-78.574167,3/23/2018
10.7,2018,3,24,23,0,Millbrook School,35.856111,-78.574167,3/24/2018
1.5,2018,3,25,23,0,Millbrook School,35.856111,-78.574167,3/25/2018
2.5,2018,3,26,23,0,Millbrook School,35.856111,-78.574167,3/26/2018
11.3,2018,3,27,23,0,Millbrook School,35.856111,-78.574167,3/27/2018
15.3,2018,3,28,23,0,Millbrook School,35.856111,-78.574167,3/28/2018
13.9,2018,3,29,23,0,Millbrook School,35.856111,-78.574167,3/29/2018
3.9,2018,3,30,23,0,Millbrook School,35.856111,-78.574167,3/30/2018
15.4,2018,3,31,23,0,Millbrook School,35.856111,-78.574167,3/31/2018
19.1,2018,4,1,23,0,Millbrook School,35.856111,-78.574167,4/1/2018
