DMax NO2,NO2-WEIGHT,Year,Month,Day,Flag,Site Name,Lat,Lng,Date
11.7,24,2018,11,22,0,QUEENS COLLEGE 2,40.73614,-73.82153,11/22/2018
17.2,24,2018,12,4,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/4/2018
32.4,24,2018,12,10,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/10/2018
15.9,24,2018,12,16,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/16/2018
19.3,24,2018,12,22,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/22/2018
35.6,20,2018,12,28,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/28/2018
35.5,24,2020,1,1,0,Newark Firehouse,40.720989,-74.192892,1/1/2020
27.4,24,2020,1,4,0,Newark Firehouse,40.720989,-74.192892,1/4/2020
40,24,2020,1,7,0,Newark Firehouse,40.720989,-74.192892,1/7/2020
33,24,2020,1,10,0,Newark Firehouse,40.720989,-74.192892,1/10/2020
36.1,20,2020,1,13,0,Newark Firehouse,40.720989,-74.192892,1/13/2020
29.3,24,2020,1,16,0,Newark Firehouse,40.720989,-74.192892,1/16/2020
23.2,21,2020,1,19,0,Newark Firehouse,40.720989,-74.192892,1/19/2020
39.9,24,2020,1,25,0,Newark Firehouse,40.720989,-74.192892,1/25/2020
15.5,24,2020,1,28,0,Newark Firehouse,40.720989,-74.192892,1/28/2020
51.5,24,2020,1,31,0,Newark Firehouse,40.720989,-74.192892,1/31/2020
54.6,24,2020,2,3,0,Newark Firehouse,40.720989,-74.192892,2/3/2020
36,24,2020,2,6,0,Newark Firehouse,40.720989,-74.192892,2/6/2020
36.7,21,2020,2,9,0,Newark Firehouse,40.720989,-74.192892,2/9/2020
28,24,2020,2,12,0,Newark Firehouse,40.720989,-74.192892,2/12/2020
27.9,24,2020,2,15,0,Newark Firehouse,40.720989,-74.192892,2/15/2020
36,24,2020,2,21,0,Newark Firehouse,40.720989,-74.192892,2/21/2020
53.7,24,2020,2,24,0,Newark Firehouse,40.720989,-74.192892,2/24/2020
17,24,2020,2,27,0,Newark Firehouse,40.720989,-74.192892,2/27/2020
43.8,21,2020,3,1,0,Newark Firehouse,40.720989,-74.192892,3/1/2020
15,24,2020,3,4,0,Newark Firehouse,40.720989,-74.192892,3/4/2020
13.5,24,2020,3,7,0,Newark Firehouse,40.720989,-74.192892,3/7/2020
38.2,24,2020,3,10,0,Newark Firehouse,40.720989,-74.192892,3/10/2020
18.6,24,2020,3,16,0,Newark Firehouse,40.720989,-74.192892,3/16/2020
41.3,21,2020,7,5,0,Newark Firehouse,40.720989,-74.192892,7/5/2020
43.4,24,2020,7,8,0,Newark Firehouse,40.720989,-74.192892,7/8/2020
19.6,24,2020,7,11,0,Newark Firehouse,40.720989,-74.192892,7/11/2020
11.9,24,2020,7,14,0,Newark Firehouse,40.720989,-74.192892,7/14/2020
27.3,24,2020,7,17,0,Newark Firehouse,40.720989,-74.192892,7/17/2020
16.1,24,2020,7,20,0,Newark Firehouse,40.720989,-74.192892,7/20/2020
11,24,2020,7,23,0,Newark Firehouse,40.720989,-74.192892,7/23/2020
18.3,21,2020,7,26,0,Newark Firehouse,40.720989,-74.192892,7/26/2020
25.4,24,2020,7,29,0,Newark Firehouse,40.720989,-74.192892,7/29/2020
31.9,24,2020,8,1,0,Newark Firehouse,40.720989,-74.192892,8/1/2020
23,24,2020,8,4,0,Newark Firehouse,40.720989,-74.192892,8/4/2020
33,24,2020,8,7,0,Newark Firehouse,40.720989,-74.192892,8/7/2020
16.1,24,2020,8,10,0,Newark Firehouse,40.720989,-74.192892,8/10/2020
25.1,21,2020,8,13,0,Newark Firehouse,40.720989,-74.192892,8/13/2020
